Fecha,Producto,Cantidad,Precio Unitario (USD)
11/08/2023,Samsung Galaxy S23,11,899.99
11/07/2023,Kindle Paperwhite,5,139.99
20/11/2023,ASUS ROG Zephyrus G14,11,1599
30/06/2023,"MacBook Pro 14""",3,1999
11/11/2023,iPhone 15 Pro,3,999
16/09/2023,"MacBook Pro 14""",19,1999
30/03/2023,Google Pixel 7 Pro,3,899
08/11/2023,AirPods Pro (2da Gen),4,249
11/04/2023,AirPods Pro (2da Gen),9,249
10/09/2023,PlayStation 5,19,499.99
10/08/2023,AirPods Pro (2da Gen),8,249
19/08/2023,HP Spectre x360,8,1299
16/04/2023,Samsung Galaxy Tab S8,12,699.99
25/08/2023,Dell XPS 15,18,1499.99
02/05/2023,"MacBook Pro 14""",2,1999
21/03/2023,Google Pixel 7 Pro,11,899
06/03/2023,iPhone 15 Pro,17,999
13/08/2023,Kindle Paperwhite,10,139.99
27/09/2023,JBL Charge 5,20,179.99
09/08/2023,LG OLED C2 TV,1,1499
22/12/2023,AirPods Pro (2da Gen),19,249
05/01/2023,iPad Air (5ta Gen),1,599
02/10/2023,Samsung Galaxy Tab S8,16,699.99
04/05/2023,HP Spectre x360,19,1299
25/03/2023,Sony WH-1000XM5,15,399.99
08/04/2023,iPad Air (5ta Gen),2,599
11/09/2023,Apple Watch Series 8,9,399
25/10/2023,Apple Watch Series 8,19,399
05/01/2023,iPad Air (5ta Gen),1,599
16/10/2023,ASUS ROG Zephyrus G14,4,1599
06/05/2023,Dell XPS 15,3,1499.99
19/05/2023,Xbox Series X,4,499
26/05/2023,Xbox Series X,18,499
10/09/2023,PlayStation 5,13,499.99
23/12/2023,Microsoft Surface Laptop 5,6,1299
11/07/2023,Google Pixel 7 Pro,20,899
23/10/2023,iPad Air (5ta Gen),3,599
18/02/2023,Kindle Paperwhite,19,139.99
17/11/2023,HP Spectre x360,11,1299
24/08/2023,Samsung Galaxy Tab S8,18,699.99
09/04/2023,PlayStation 5,5,499.99
12/05/2023,Nintendo Switch OLED,2,349.99
28/08/2023,PlayStation 5,15,499.99
30/11/2023,Xbox Series X,20,499
04/05/2023,Microsoft Surface Laptop 5,12,1299
25/10/2023,JBL Charge 5,9,179.99
03/10/2023,"MacBook Pro 14""",3,1999
03/01/2023,Nintendo Switch OLED,15,349.99
09/01/2023,"MacBook Pro 14""",8,1999
01/11/2023,ASUS ROG Zephyrus G14,5,1599
14/05/2023,Kindle Paperwhite,13,139.99
18/12/2023,iPad Air (5ta Gen),2,599
01/05/2023,Nintendo Switch OLED,15,349.99
24/02/2023,PlayStation 5,5,499.99
13/04/2023,ASUS ROG Zephyrus G14,20,1599
02/02/2023,Nintendo Switch OLED,18,349.99
17/07/2023,Samsung Galaxy S23,2,899.99
31/10/2023,Kindle Paperwhite,20,139.99
12/03/2023,Google Pixel 7 Pro,8,899
29/07/2023,Dell XPS 15,12,1499.99
31/08/2023,iPhone 15 Pro,7,999
03/12/2023,JBL Charge 5,16,179.99
03/08/2023,Samsung Galaxy S23,11,899.99
02/06/2023,Kindle Paperwhite,2,139.99
13/05/2023,Google Pixel 7 Pro,20,899
30/12/2023,Samsung Galaxy Tab S8,13,699.99
07/09/2023,iPhone 15 Pro,2,999
16/06/2023,JBL Charge 5,15,179.99
01/11/2023,Logitech MX Master 3S,20,99.99
04/01/2023,iPhone 15 Pro,8,999
17/11/2023,Logitech MX Master 3S,6,99.99
29/07/2023,PlayStation 5,12,499.99
21/10/2023,ASUS ROG Zephyrus G14,6,1599
25/08/2023,AirPods Pro (2da Gen),6,249
16/05/2023,"MacBook Pro 14""",6,1999
29/06/2023,Samsung Galaxy Tab S8,3,699.99
14/10/2023,JBL Charge 5,20,179.99
03/12/2023,Samsung Galaxy S23,14,899.99
02/06/2023,Dell XPS 15,4,1499.99
12/04/2023,JBL Charge 5,11,179.99
12/02/2023,Samsung Galaxy Tab S8,17,699.99
16/05/2023,Sony WH-1000XM5,18,399.99
27/08/2023,iPhone 15 Pro,4,999
08/01/2023,JBL Charge 5,16,179.99
27/10/2023,Nintendo Switch OLED,19,349.99
24/05/2023,JBL Charge 5,8,179.99
05/02/2023,"MacBook Pro 14""",7,1999
22/11/2023,"MacBook Pro 14""",18,1999
16/01/2023,PlayStation 5,4,499.99
04/03/2023,ASUS ROG Zephyrus G14,1,1599
02/11/2023,AirPods Pro (2da Gen),12,249
22/02/2023,PlayStation 5,16,499.99
06/04/2023,Dell XPS 15,13,1499.99
18/09/2023,"MacBook Pro 14""",8,1999
04/04/2023,Sony WH-1000XM5,9,399.99
10/07/2023,iPad Air (5ta Gen),16,599
29/08/2023,Nintendo Switch OLED,4,349.99
06/06/2023,Samsung Galaxy Tab S8,15,699.99
13/10/2023,Microsoft Surface Laptop 5,1,1299
17/02/2023,PlayStation 5,3,499.99
12/07/2023,Samsung Galaxy S23,11,899.99
09/07/2023,AirPods Pro (2da Gen),19,249
16/11/2023,iPad Air (5ta Gen),1,599
11/11/2023,"MacBook Pro 14""",20,1999
23/01/2023,iPhone 15 Pro,11,999
23/12/2023,JBL Charge 5,5,179.99
29/06/2023,Logitech MX Master 3S,3,99.99
25/02/2023,Dell XPS 15,7,1499.99
22/07/2023,Google Pixel 7 Pro,15,899
31/03/2023,ASUS ROG Zephyrus G14,14,1599
18/07/2023,iPhone 15 Pro,7,999
17/05/2023,"MacBook Pro 14""",1,1999
19/04/2023,Logitech MX Master 3S,6,99.99
06/01/2023,Logitech MX Master 3S,1,99.99
16/09/2023,AirPods Pro (2da Gen),19,249
12/07/2023,Nintendo Switch OLED,15,349.99
05/08/2023,iPad Air (5ta Gen),14,599
30/04/2023,Dell XPS 15,3,1499.99
14/09/2023,LG OLED C2 TV,12,1499
10/10/2023,Samsung Galaxy Tab S8,7,699.99
01/08/2023,Dell XPS 15,6,1499.99
12/08/2023,iPad Air (5ta Gen),15,599
26/06/2023,Xbox Series X,11,499
06/11/2023,Sony WH-1000XM5,5,399.99
16/10/2023,PlayStation 5,1,499.99
16/03/2023,Sony WH-1000XM5,4,399.99
05/06/2023,"MacBook Pro 14""",18,1999
30/10/2023,Dell XPS 15,9,1499.99
18/11/2023,Logitech MX Master 3S,6,99.99
08/03/2023,Kindle Paperwhite,4,139.99
16/01/2023,Nintendo Switch OLED,16,349.99
13/06/2023,Nintendo Switch OLED,20,349.99
23/06/2023,Logitech MX Master 3S,15,99.99
11/12/2023,Samsung Galaxy Tab S8,19,699.99
14/09/2023,Dell XPS 15,7,1499.99
21/08/2023,Xbox Series X,9,499
08/01/2023,Logitech MX Master 3S,8,99.99
19/01/2023,LG OLED C2 TV,1,1499
16/12/2023,Sony WH-1000XM5,14,399.99
08/12/2023,Samsung Galaxy S23,5,899.99
16/01/2023,HP Spectre x360,17,1299
31/10/2023,PlayStation 5,11,499.99
27/02/2023,"MacBook Pro 14""",15,1999
03/12/2023,JBL Charge 5,9,179.99
03/03/2023,Nintendo Switch OLED,1,349.99
10/09/2023,Xbox Series X,10,499
27/02/2023,Kindle Paperwhite,17,139.99
20/05/2023,LG OLED C2 TV,6,1499
14/04/2023,ASUS ROG Zephyrus G14,13,1599
26/03/2023,Samsung Galaxy S23,19,899.99
12/09/2023,iPhone 15 Pro,1,999
19/10/2023,iPad Air (5ta Gen),18,599
03/05/2023,iPad Air (5ta Gen),11,599
01/10/2023,Sony WH-1000XM5,3,399.99
09/06/2023,Samsung Galaxy S23,6,899.99
20/03/2023,AirPods Pro (2da Gen),13,249
01/07/2023,iPhone 15 Pro,14,999
29/08/2023,ASUS ROG Zephyrus G14,18,1599
20/06/2023,Kindle Paperwhite,12,139.99
23/05/2023,Nintendo Switch OLED,16,349.99
06/12/2023,Kindle Paperwhite,10,139.99
16/10/2023,Sony WH-1000XM5,13,399.99
17/01/2023,Sony WH-1000XM5,9,399.99
02/02/2023,Kindle Paperwhite,3,139.99
31/12/2023,ASUS ROG Zephyrus G14,12,1599
09/07/2023,iPhone 15 Pro,16,999
18/11/2023,JBL Charge 5,9,179.99
02/11/2023,Google Pixel 7 Pro,6,899
22/03/2023,"MacBook Pro 14""",6,1999
20/01/2023,JBL Charge 5,2,179.99
16/06/2023,Google Pixel 7 Pro,12,899
17/11/2023,Samsung Galaxy S23,6,899.99
20/07/2023,Xbox Series X,10,499
28/02/2023,iPad Air (5ta Gen),15,599
17/10/2023,Kindle Paperwhite,9,139.99
17/06/2023,Sony WH-1000XM5,9,399.99
15/09/2023,Logitech MX Master 3S,11,99.99
18/08/2023,AirPods Pro (2da Gen),6,249
27/04/2023,LG OLED C2 TV,19,1499
13/01/2023,Xbox Series X,3,499
17/10/2023,AirPods Pro (2da Gen),16,249
25/02/2023,ASUS ROG Zephyrus G14,17,1599
19/08/2023,Nintendo Switch OLED,15,349.99
12/01/2023,Microsoft Surface Laptop 5,13,1299
24/10/2023,Nintendo Switch OLED,13,349.99
07/05/2023,"MacBook Pro 14""",2,1999
15/01/2023,Dell XPS 15,11,1499.99
13/02/2023,Logitech MX Master 3S,15,99.99
18/10/2023,ASUS ROG Zephyrus G14,11,1599
28/02/2023,Nintendo Switch OLED,9,349.99
12/11/2023,Samsung Galaxy Tab S8,12,699.99
05/11/2023,Apple Watch Series 8,8,399
08/02/2023,JBL Charge 5,11,179.99
26/02/2023,AirPods Pro (2da Gen),11,249
04/03/2023,PlayStation 5,5,499.99
06/05/2023,HP Spectre x360,16,1299
06/08/2023,iPad Air (5ta Gen),11,599
05/09/2023,Microsoft Surface Laptop 5,18,1299
29/09/2023,iPhone 15 Pro,16,999
12/11/2023,Samsung Galaxy S23,6,899.99
03/03/2023,Apple Watch Series 8,13,399
09/08/2023,JBL Charge 5,20,179.99
24/06/2023,LG OLED C2 TV,18,1499
14/08/2023,ASUS ROG Zephyrus G14,15,1599
03/07/2023,Logitech MX Master 3S,11,99.99
05/12/2023,AirPods Pro (2da Gen),9,249
09/01/2023,Google Pixel 7 Pro,13,899
18/02/2023,JBL Charge 5,6,179.99
30/05/2023,"MacBook Pro 14""",8,1999
06/10/2023,Samsung Galaxy Tab S8,9,699.99
30/07/2023,JBL Charge 5,4,179.99
20/02/2023,PlayStation 5,20,499.99
28/07/2023,iPad Air (5ta Gen),4,599
31/12/2023,Xbox Series X,9,499
23/05/2023,HP Spectre x360,3,1299
19/02/2023,Samsung Galaxy S23,9,899.99
25/04/2023,HP Spectre x360,19,1299
04/02/2023,AirPods Pro (2da Gen),3,249
18/07/2023,ASUS ROG Zephyrus G14,8,1599
15/05/2023,iPad Air (5ta Gen),10,599
10/03/2023,HP Spectre x360,1,1299
13/06/2023,ASUS ROG Zephyrus G14,3,1599
27/01/2023,Xbox Series X,3,499
05/11/2023,Xbox Series X,12,499
18/08/2023,AirPods Pro (2da Gen),12,249
28/08/2023,Apple Watch Series 8,5,399
11/01/2023,"MacBook Pro 14""",14,1999
25/08/2023,HP Spectre x360,4,1299
08/12/2023,Kindle Paperwhite,10,139.99
24/04/2023,LG OLED C2 TV,19,1499
07/10/2023,"MacBook Pro 14""",2,1999
26/11/2023,Apple Watch Series 8,1,399
03/05/2023,ASUS ROG Zephyrus G14,9,1599
16/10/2023,Logitech MX Master 3S,10,99.99
17/01/2023,JBL Charge 5,11,179.99
22/04/2023,Logitech MX Master 3S,3,99.99
14/09/2023,PlayStation 5,7,499.99
23/03/2023,ASUS ROG Zephyrus G14,9,1599
17/08/2023,HP Spectre x360,15,1299
11/03/2023,Dell XPS 15,17,1499.99
22/08/2023,Logitech MX Master 3S,14,99.99
29/12/2023,Apple Watch Series 8,9,399
28/02/2023,ASUS ROG Zephyrus G14,13,1599
29/09/2023,Samsung Galaxy S23,5,899.99
23/12/2023,AirPods Pro (2da Gen),16,249
21/02/2023,AirPods Pro (2da Gen),4,249
19/11/2023,LG OLED C2 TV,19,1499
09/04/2023,iPad Air (5ta Gen),3,599
05/03/2023,ASUS ROG Zephyrus G14,12,1599
13/06/2023,Xbox Series X,19,499
04/12/2023,Google Pixel 7 Pro,4,899
04/12/2023,HP Spectre x360,14,1299
09/12/2023,Microsoft Surface Laptop 5,19,1299
08/09/2023,Samsung Galaxy S23,2,899.99
01/05/2023,Logitech MX Master 3S,15,99.99
29/11/2023,Apple Watch Series 8,18,399
10/11/2023,Microsoft Surface Laptop 5,7,1299
25/08/2023,PlayStation 5,16,499.99
12/07/2023,PlayStation 5,7,499.99
12/12/2023,JBL Charge 5,2,179.99
15/11/2023,Samsung Galaxy S23,6,899.99
05/11/2023,Nintendo Switch OLED,20,349.99
05/08/2023,Logitech MX Master 3S,9,99.99
17/01/2023,Microsoft Surface Laptop 5,10,1299
25/06/2023,JBL Charge 5,5,179.99
11/06/2023,iPhone 15 Pro,3,999
09/07/2023,Logitech MX Master 3S,13,99.99
03/10/2023,iPad Air (5ta Gen),14,599
15/11/2023,iPad Air (5ta Gen),2,599
12/07/2023,"MacBook Pro 14""",4,1999
10/10/2023,Dell XPS 15,19,1499.99
20/01/2023,Google Pixel 7 Pro,17,899
25/08/2023,Google Pixel 7 Pro,12,899
24/11/2023,ASUS ROG Zephyrus G14,7,1599
23/11/2023,Dell XPS 15,1,1499.99
17/07/2023,JBL Charge 5,14,179.99
26/10/2023,ASUS ROG Zephyrus G14,16,1599
03/10/2023,Samsung Galaxy Tab S8,14,699.99
11/05/2023,Apple Watch Series 8,8,399
22/04/2023,Samsung Galaxy Tab S8,3,699.99
17/05/2023,Logitech MX Master 3S,18,99.99
31/08/2023,Apple Watch Series 8,13,399
21/02/2023,iPhone 15 Pro,5,999
21/02/2023,iPhone 15 Pro,10,999
19/07/2023,iPad Air (5ta Gen),16,599
16/01/2023,iPhone 15 Pro,20,999
15/06/2023,PlayStation 5,16,499.99
09/10/2023,Apple Watch Series 8,10,399
17/03/2023,Nintendo Switch OLED,11,349.99
05/01/2023,ASUS ROG Zephyrus G14,11,1599
04/07/2023,Google Pixel 7 Pro,20,899
12/02/2023,"MacBook Pro 14""",18,1999
30/10/2023,Xbox Series X,5,499
15/01/2023,Sony WH-1000XM5,16,399.99
01/07/2023,Samsung Galaxy S23,14,899.99
27/07/2023,Dell XPS 15,19,1499.99
23/11/2023,AirPods Pro (2da Gen),18,249
09/04/2023,Kindle Paperwhite,16,139.99
02/05/2023,JBL Charge 5,19,179.99
13/02/2023,Google Pixel 7 Pro,13,899
02/06/2023,LG OLED C2 TV,12,1499
10/08/2023,iPhone 15 Pro,8,999
28/08/2023,AirPods Pro (2da Gen),15,249
06/10/2023,Kindle Paperwhite,5,139.99
18/04/2023,ASUS ROG Zephyrus G14,7,1599
15/11/2023,Logitech MX Master 3S,16,99.99
15/10/2023,"MacBook Pro 14""",19,1999
23/03/2023,Apple Watch Series 8,4,399
29/05/2023,Dell XPS 15,5,1499.99
10/10/2023,Xbox Series X,17,499
22/10/2023,Kindle Paperwhite,11,139.99
01/08/2023,Microsoft Surface Laptop 5,3,1299
15/07/2023,JBL Charge 5,4,179.99
09/05/2023,AirPods Pro (2da Gen),20,249
21/06/2023,LG OLED C2 TV,11,1499
25/09/2023,Logitech MX Master 3S,20,99.99
29/06/2023,JBL Charge 5,16,179.99
27/11/2023,Nintendo Switch OLED,12,349.99
18/06/2023,JBL Charge 5,11,179.99
03/06/2023,Nintendo Switch OLED,6,349.99
07/05/2023,Sony WH-1000XM5,4,399.99
01/09/2023,Nintendo Switch OLED,7,349.99
17/05/2023,Apple Watch Series 8,14,399
30/08/2023,iPad Air (5ta Gen),16,599
25/02/2023,LG OLED C2 TV,9,1499
21/03/2023,Dell XPS 15,14,1499.99
05/06/2023,"MacBook Pro 14""",20,1999
27/11/2023,HP Spectre x360,5,1299
28/01/2023,Microsoft Surface Laptop 5,2,1299
01/11/2023,LG OLED C2 TV,6,1499
23/04/2023,JBL Charge 5,3,179.99
02/08/2023,Xbox Series X,18,499
24/04/2023,PlayStation 5,11,499.99
23/10/2023,Sony WH-1000XM5,20,399.99
27/09/2023,Sony WH-1000XM5,3,399.99
04/05/2023,Logitech MX Master 3S,12,99.99
07/07/2023,LG OLED C2 TV,15,1499
28/10/2023,Samsung Galaxy Tab S8,12,699.99
06/03/2023,PlayStation 5,6,499.99
26/10/2023,LG OLED C2 TV,3,1499
25/09/2023,Apple Watch Series 8,6,399
06/01/2023,Nintendo Switch OLED,17,349.99
13/04/2023,HP Spectre x360,10,1299
11/02/2023,Apple Watch Series 8,8,399
26/03/2023,LG OLED C2 TV,14,1499
10/01/2023,Xbox Series X,20,499
17/03/2023,ASUS ROG Zephyrus G14,11,1599
01/06/2023,Microsoft Surface Laptop 5,2,1299
06/09/2023,Google Pixel 7 Pro,18,899
02/07/2023,LG OLED C2 TV,18,1499
08/06/2023,Dell XPS 15,1,1499.99
06/02/2023,HP Spectre x360,17,1299
07/03/2023,ASUS ROG Zephyrus G14,16,1599
08/07/2023,iPad Air (5ta Gen),8,599
13/04/2023,Logitech MX Master 3S,4,99.99
12/07/2023,HP Spectre x360,9,1299
10/09/2023,Samsung Galaxy S23,10,899.99
26/09/2023,LG OLED C2 TV,18,1499
14/01/2023,Xbox Series X,7,499
14/03/2023,LG OLED C2 TV,15,1499
24/07/2023,iPhone 15 Pro,5,999
16/01/2023,Logitech MX Master 3S,1,99.99
28/10/2023,LG OLED C2 TV,18,1499
01/12/2023,iPhone 15 Pro,1,999
01/09/2023,Apple Watch Series 8,16,399
29/09/2023,iPhone 15 Pro,3,999
29/07/2023,iPad Air (5ta Gen),14,599
14/06/2023,LG OLED C2 TV,9,1499
22/01/2023,Logitech MX Master 3S,20,99.99
11/05/2023,HP Spectre x360,8,1299
02/10/2023,HP Spectre x360,7,1299
12/09/2023,Microsoft Surface Laptop 5,13,1299
04/11/2023,Xbox Series X,18,499
11/12/2023,Nintendo Switch OLED,5,349.99
25/12/2023,Google Pixel 7 Pro,10,899
23/06/2023,iPad Air (5ta Gen),13,599
07/03/2023,"MacBook Pro 14""",12,1999
01/01/2023,HP Spectre x360,5,1299
09/07/2023,Samsung Galaxy Tab S8,5,699.99
29/06/2023,Logitech MX Master 3S,2,99.99
21/03/2023,Microsoft Surface Laptop 5,15,1299
02/10/2023,JBL Charge 5,12,179.99
03/03/2023,AirPods Pro (2da Gen),14,249
14/10/2023,iPhone 15 Pro,8,999
05/11/2023,Logitech MX Master 3S,2,99.99
21/07/2023,iPhone 15 Pro,3,999
30/01/2023,Kindle Paperwhite,15,139.99
02/03/2023,Apple Watch Series 8,8,399
27/03/2023,Samsung Galaxy Tab S8,17,699.99
27/09/2023,ASUS ROG Zephyrus G14,15,1599
15/07/2023,"MacBook Pro 14""",3,1999
15/12/2023,Apple Watch Series 8,10,399
15/08/2023,JBL Charge 5,15,179.99
13/02/2023,Dell XPS 15,18,1499.99
30/09/2023,Nintendo Switch OLED,10,349.99
18/04/2023,JBL Charge 5,2,179.99
18/04/2023,Xbox Series X,12,499
01/08/2023,Samsung Galaxy Tab S8,20,699.99
22/09/2023,"MacBook Pro 14""",17,1999
03/04/2023,JBL Charge 5,1,179.99
24/03/2023,Google Pixel 7 Pro,4,899
20/04/2023,Apple Watch Series 8,19,399
21/09/2023,Nintendo Switch OLED,5,349.99
07/04/2023,PlayStation 5,18,499.99
10/12/2023,ASUS ROG Zephyrus G14,15,1599
18/09/2023,Logitech MX Master 3S,1,99.99
16/04/2023,AirPods Pro (2da Gen),17,249
31/10/2023,Dell XPS 15,6,1499.99
04/07/2023,Kindle Paperwhite,11,139.99
21/12/2023,AirPods Pro (2da Gen),1,249
21/02/2023,Samsung Galaxy Tab S8,10,699.99
31/07/2023,Logitech MX Master 3S,6,99.99
30/09/2023,Dell XPS 15,14,1499.99
28/11/2023,AirPods Pro (2da Gen),9,249
23/03/2023,HP Spectre x360,13,1299
26/06/2023,JBL Charge 5,8,179.99
30/07/2023,Samsung Galaxy S23,13,899.99
16/01/2023,HP Spectre x360,12,1299
11/05/2023,Sony WH-1000XM5,16,399.99
04/02/2023,Kindle Paperwhite,15,139.99
11/10/2023,Apple Watch Series 8,10,399
15/03/2023,PlayStation 5,8,499.99
07/05/2023,Dell XPS 15,18,1499.99
20/05/2023,iPhone 15 Pro,8,999
07/12/2023,Google Pixel 7 Pro,8,899
24/04/2023,HP Spectre x360,6,1299
03/01/2023,Google Pixel 7 Pro,9,899
20/09/2023,JBL Charge 5,2,179.99
17/11/2023,JBL Charge 5,13,179.99
